# Scan Timestamp (sec):,2274
Angle (rad),Range (m),Intensity
0.2253376543521881,3.823754072189331,0.0
0.2384641170501709,3.8356127738952637,0.0
0.48786690831184387,6.891587734222412,0.0
0.5009933710098267,6.726332664489746,0.0
0.5141198337078094,6.775609016418457,0.0
0.9341666400432587,3.513009548187256,0.0
0.9472931027412415,3.528214693069458,0.0
1.406719297170639,3.903148889541626,0.0
1.4198457598686218,3.9145760536193848,0.0
1.4854780733585358,6.3142242431640625,0.0
2.2599393725395203,4.51691198348999,0.0
2.273065835237503,4.49591064453125,0.0
2.404330462217331,7.7192535400390625,0.0
2.890009582042694,6.1382012367248535,0.0
3.008147746324539,3.4336588382720947,0.0
3.021274209022522,3.433164596557617,0.0
3.756356120109558,7.304629802703857,0.0
3.769482582807541,7.275526523590088,0.0
3.7826090455055237,7.346142292022705,0.0
